month_start,Calendar_Year,Quarter,Month,Month_Name,Season,Baseload_Central_Nominal_€_per_MWh,Baseload_Low_Nominal_€_per_MWh,Baseload_High_Nominal_€_per_MWh,Onshore_Wind_Uncurtailed_Central_Nominal_€_per_MWh,Onshore_Wind_Uncurtailed_Low_Nominal_€_per_MWh,Onshore_Wind_Uncurtailed_High_Nominal_€_per_MWh,Onshore_Wind_Curtailed_Central_Nominal_€_per_MWh,Onshore_Wind_Curtailed_Low_Nominal_€_per_MWh,Onshore_Wind_Curtailed_High_Nominal_€_per_MWh,Onshore_Wind_Curtailment_Central_%,Onshore_Wind_Curtailment_Low_%,Onshore_Wind_Curtailment_High_%,Offshore_Wind_Uncurtailed_Central_Nominal_€_per_MWh,Offshore_Wind_Uncurtailed_Low_Nominal_€_per_MWh,Offshore_Wind_Uncurtailed_High_Nominal_€_per_MWh,Offshore_Wind_Curtailed_Central_Nominal_€_per_MWh,Offshore_Wind_Curtailed_Low_Nominal_€_per_MWh,Offshore_Wind_Curtailed_High_Nominal_€_per_MWh,Offshore_Wind_Curtailment_Central_%,Offshore_Wind_Curtailment_Low_%,Offshore_Wind_Curtailment_High_%,Fixed_Solar_PV_Uncurtailed_Central_Nominal_€_per_MWh,Fixed_Solar_PV_Uncurtailed_Low_Nominal_€_per_MWh,Fixed_Solar_PV_Uncurtailed_High_Nominal_€_per_MWh,Fixed_Solar_PV_Curtailed_Central_Nominal_€_per_MWh,Fixed_Solar_PV_Curtailed_Low_Nominal_€_per_MWh,Fixed_Solar_PV_Curtailed_High_Nominal_€_per_MWh,Fixed_Solar_PV_Curtailment_Central_%,Fixed_Solar_PV_Curtailment_Low_%,Fixed_Solar_PV_Curtailment_High_%,Tracking_Solar_PV_Uncurtailed_Central_Nominal_€_per_MWh,Tracking_Solar_PV_Uncurtailed_Low_Nominal_€_per_MWh,Tracking_Solar_PV_Uncurtailed_High_Nominal_€_per_MWh,Tracking_Solar_PV_Curtailed_Central_Nominal_€_per_MWh,Tracking_Solar_PV_Curtailed_Low_Nominal_€_per_MWh,Tracking_Solar_PV_Curtailed_High_Nominal_€_per_MWh,Tracking_Solar_PV_Curtailment_Central_%,Tracking_Solar_PV_Curtailment_Low_%,Tracking_Solar_PV_Curtailment_High_%
2026-01-01,2026,Q1,1,January,Winter,133.62,108.69,208.04,133.64,108.04,207.33,134.16,108.04,207.33,0.4,0.0,0.0,132.7,107.01,206.05,133.22,107.01,206.05,0.0,0.0,0.0,115.18,94.62,187.58,116.56,94.62,187.58,1.1,0.0,0.0,115.85,95.22,188.49,117.16,95.22,188.49,0.0,0.0,0.0
2026-02-01,2026,Q1,2,February,Winter,118.39,92.99,191.2,116.76,91.31,189.36,117.53,91.31,189.36,0.6,0.0,0.0,116.36,91.42,189.36,117.3,91.42,189.36,0.0,0.0,0.0,105.96,81.95,174.67,105.97,81.95,174.67,0.0,0.0,0.0,106.95,82.99,175.97,106.98,82.99,175.97,0.0,0.0,0.0
2026-03-01,2026,Q1,3,March,Spring,100.72,76.57,168.56,100.54,75.42,167.19,103.18,77.28,169.14,2.4,2.3,1.1,101.19,76.56,168.59,104.17,78.38,170.63,0.0,0.0,0.0,67.21,50.09,122.6,71.52,51.5,126.28,5.7,2.5,2.7,69.18,51.7,125.46,73.89,53.31,129.57,6.1,0.0,2.9
2026-04-01,2026,Q2,4,April,Spring,82.7,60.53,138.42,84.34,60.37,139.02,86.01,62.36,141.43,1.9,2.8,1.7,81.22,58.07,134.28,83.1,59.9,136.4,0.0,0.0,0.0,34.59,25.52,66.1,35.86,27.93,69.84,3.5,5.6,5.1,42.0,30.76,77.73,43.46,33.34,81.41,3.3,0.0,4.4
2026-05-01,2026,Q2,5,May,Spring,81.89,62.92,138.3,80.9,62.08,138.35,84.31,64.78,138.57,4.0,4.1,0.2,82.02,63.61,139.85,85.62,66.43,140.29,0.0,0.0,0.0,38.71,31.58,73.04,41.39,33.17,74.06,6.0,4.5,1.4,46.68,37.09,86.07,49.71,39.05,87.01,5.8,0.0,1.1
2026-06-01,2026,Q2,6,June,Summer,88.6,67.18,152.6,85.14,65.66,148.39,89.81,68.46,149.51,5.1,4.0,0.7,82.79,65.36,145.28,87.7,67.29,146.32,0.0,0.0,0.0,61.38,46.37,107.85,64.39,48.58,110.84,4.5,4.5,2.7,67.25,50.91,117.24,70.34,53.18,119.88,4.3,0.0,2.2
2026-07-01,2026,Q3,7,July,Summer,94.61,68.35,159.77,91.94,66.93,153.39,96.33,72.21,157.79,4.4,7.2,2.7,88.36,63.83,149.62,93.35,69.92,154.8,0.0,0.0,0.0,64.23,43.95,112.97,68.97,50.1,119.15,6.7,11.9,5.0,71.93,50.67,125.19,76.6,56.62,130.62,5.9,0.0,4.0
2026-08-01,2026,Q3,8,August,Summer,101.17,78.93,170.06,98.62,74.72,164.13,102.71,78.82,166.18,3.9,5.1,1.2,92.83,71.11,157.02,97.29,74.43,158.99,0.0,0.0,0.0,69.46,51.35,122.87,74.4,55.54,126.25,6.5,7.4,2.6,75.67,56.39,132.95,80.68,60.81,135.99,6.1,0.0,2.2
2026-09-01,2026,Q3,9,September,Autumn,106.8,84.27,175.38,105.33,82.53,172.75,108.76,84.23,172.93,3.0,2.0,0.1,103.2,80.89,169.03,106.24,82.49,169.37,0.0,0.0,0.0,72.93,55.86,127.91,76.84,58.18,128.32,4.9,3.9,0.3,77.86,60.35,135.55,82.13,62.8,136.03,5.0,0.0,0.3
2026-10-01,2026,Q4,10,October,Autumn,109.33,82.81,178.91,108.88,80.77,179.57,111.25,84.41,179.58,2.1,4.2,0.0,106.61,77.68,175.98,108.71,81.6,175.98,0.0,0.0,0.0,77.84,55.58,135.86,79.99,57.05,136.58,2.7,2.4,0.5,81.33,58.49,140.2,83.47,59.99,140.93,2.6,0.0,0.5
