timestamp_eet,Value [EUR/MWh]
2025-11-27 00:45:00+02:00,82.15
2025-11-27 01:00:00+02:00,94.07
2025-11-27 01:15:00+02:00,91.21
2025-11-27 01:30:00+02:00,87.81
2025-11-27 01:45:00+02:00,86.95
2025-11-27 02:00:00+02:00,89.09
2025-11-27 02:15:00+02:00,85.9
2025-11-27 02:30:00+02:00,82.78
2025-11-27 02:45:00+02:00,80.03
2025-11-27 03:00:00+02:00,84.04
2025-11-27 03:15:00+02:00,81.49
2025-11-27 03:30:00+02:00,79.82
2025-11-27 03:45:00+02:00,75.94
2025-11-27 04:00:00+02:00,81.82
2025-11-27 04:15:00+02:00,80.36
2025-11-27 04:30:00+02:00,78.18
2025-11-27 04:45:00+02:00,72.21
2025-11-27 05:00:00+02:00,78.0
2025-11-27 05:15:00+02:00,78.3
2025-11-27 05:30:00+02:00,85.0
2025-11-27 05:45:00+02:00,86.34
2025-11-27 06:00:00+02:00,84.25
2025-11-27 06:15:00+02:00,74.52
2025-11-27 06:30:00+02:00,86.43
2025-11-27 06:45:00+02:00,89.67
2025-11-27 07:00:00+02:00,90.27
2025-11-27 07:15:00+02:00,110.81
2025-11-27 07:30:00+02:00,118.82
2025-11-27 07:45:00+02:00,131.0
2025-11-27 08:00:00+02:00,116.17
2025-11-27 08:15:00+02:00,131.21
2025-11-27 08:30:00+02:00,136.34
2025-11-27 08:45:00+02:00,140.81
2025-11-27 09:00:00+02:00,145.24
2025-11-27 09:15:00+02:00,149.54
2025-11-27 09:30:00+02:00,139.2
2025-11-27 09:45:00+02:00,112.55
2025-11-27 10:00:00+02:00,141.68
2025-11-27 10:15:00+02:00,143.43
2025-11-27 10:30:00+02:00,121.03
2025-11-27 10:45:00+02:00,96.54
2025-11-27 11:00:00+02:00,127.1
2025-11-27 11:15:00+02:00,115.75
2025-11-27 11:30:00+02:00,108.83
2025-11-27 11:45:00+02:00,98.24
2025-11-27 12:00:00+02:00,108.2
2025-11-27 12:15:00+02:00,109.55
2025-11-27 12:30:00+02:00,110.3
2025-11-27 12:45:00+02:00,107.99
2025-11-27 13:00:00+02:00,104.47
2025-11-27 13:15:00+02:00,110.9
2025-11-27 13:30:00+02:00,110.61
2025-11-27 13:45:00+02:00,116.27
2025-11-27 14:00:00+02:00,122.62
2025-11-27 14:15:00+02:00,126.3
2025-11-27 14:30:00+02:00,128.88
2025-11-27 14:45:00+02:00,132.31
2025-11-27 15:00:00+02:00,126.84
2025-11-27 15:15:00+02:00,145.28
2025-11-27 15:30:00+02:00,167.35
2025-11-27 15:45:00+02:00,170.49
2025-11-27 16:00:00+02:00,147.83
2025-11-27 16:15:00+02:00,161.42
2025-11-27 16:30:00+02:00,167.8
2025-11-27 16:45:00+02:00,181.5
2025-11-27 17:00:00+02:00,170.83
2025-11-27 17:15:00+02:00,175.6
2025-11-27 17:30:00+02:00,184.16
2025-11-27 17:45:00+02:00,182.92
2025-11-27 18:00:00+02:00,168.83
2025-11-27 18:15:00+02:00,159.25
2025-11-27 18:30:00+02:00,154.11
2025-11-27 18:45:00+02:00,147.87
2025-11-27 19:00:00+02:00,141.7
2025-11-27 19:15:00+02:00,140.96
2025-11-27 19:30:00+02:00,140.62
2025-11-27 19:45:00+02:00,142.27
2025-11-27 20:00:00+02:00,142.75
2025-11-27 20:15:00+02:00,144.21
2025-11-27 20:30:00+02:00,142.07
2025-11-27 20:45:00+02:00,122.77
2025-11-27 21:00:00+02:00,134.08
2025-11-27 21:15:00+02:00,124.78
2025-11-27 21:30:00+02:00,115.37
2025-11-27 21:45:00+02:00,112.29
2025-11-27 22:00:00+02:00,115.31
2025-11-27 22:15:00+02:00,106.05
2025-11-27 22:30:00+02:00,104.59
2025-11-27 22:45:00+02:00,96.64
2025-11-27 23:00:00+02:00,107.93
2025-11-27 23:15:00+02:00,103.95
2025-11-27 23:30:00+02:00,90.09
2025-11-27 23:45:00+02:00,82.44
2025-11-28 00:00:00+02:00,97.17
2025-11-28 00:15:00+02:00,81.84
2025-11-28 00:30:00+02:00,71.9
2025-11-28 00:45:00+02:00,51.81
2025-11-28 01:00:00+02:00,85.42
2025-11-28 01:15:00+02:00,88.55
2025-11-28 01:30:00+02:00,85.21
2025-11-28 01:45:00+02:00,87.01
2025-11-28 02:00:00+02:00,81.03
2025-11-28 02:15:00+02:00,74.86
2025-11-28 02:30:00+02:00,69.26
2025-11-28 02:45:00+02:00,61.47
2025-11-28 03:00:00+02:00,75.33
2025-11-28 03:15:00+02:00,69.17
2025-11-28 03:30:00+02:00,76.54
2025-11-28 03:45:00+02:00,67.08
2025-11-28 04:00:00+02:00,73.09
2025-11-28 04:15:00+02:00,80.95
2025-11-28 04:30:00+02:00,81.98
2025-11-28 04:45:00+02:00,83.55
2025-11-28 05:00:00+02:00,63.85
2025-11-28 05:15:00+02:00,64.37
2025-11-28 05:30:00+02:00,81.91
2025-11-28 05:45:00+02:00,89.21
2025-11-28 06:00:00+02:00,88.96
2025-11-28 06:15:00+02:00,97.85
2025-11-28 06:30:00+02:00,104.44
2025-11-28 06:45:00+02:00,112.79
2025-11-28 07:00:00+02:00,99.89
2025-11-28 07:15:00+02:00,117.63
2025-11-28 07:30:00+02:00,125.79
2025-11-28 07:45:00+02:00,143.34
2025-11-28 08:00:00+02:00,136.39
2025-11-28 08:15:00+02:00,151.42
2025-11-28 08:30:00+02:00,165.49
2025-11-28 08:45:00+02:00,171.91
2025-11-28 09:00:00+02:00,156.78
2025-11-28 09:15:00+02:00,155.23
2025-11-28 09:30:00+02:00,150.0
2025-11-28 09:45:00+02:00,133.29
2025-11-28 10:00:00+02:00,168.4
2025-11-28 10:15:00+02:00,143.68
2025-11-28 10:30:00+02:00,134.11
2025-11-28 10:45:00+02:00,109.83
2025-11-28 11:00:00+02:00,180.99
2025-11-28 11:15:00+02:00,204.7
2025-11-28 11:30:00+02:00,117.82
2025-11-28 11:45:00+02:00,104.5
2025-11-28 12:00:00+02:00,119.69
2025-11-28 12:15:00+02:00,116.09
2025-11-28 12:30:00+02:00,140.81
2025-11-28 12:45:00+02:00,198.71
2025-11-28 13:00:00+02:00,121.21
2025-11-28 13:15:00+02:00,167.8
2025-11-28 13:30:00+02:00,128.7
2025-11-28 13:45:00+02:00,118.31
2025-11-28 14:00:00+02:00,120.67
2025-11-28 14:15:00+02:00,121.52
2025-11-28 14:30:00+02:00,125.25
2025-11-28 14:45:00+02:00,142.56
2025-11-28 15:00:00+02:00,134.91
2025-11-28 15:15:00+02:00,158.41
2025-11-28 15:30:00+02:00,196.51
2025-11-28 15:45:00+02:00,211.52
2025-11-28 16:00:00+02:00,119.11
2025-11-28 16:15:00+02:00,138.45
2025-11-28 16:30:00+02:00,157.43
2025-11-28 16:45:00+02:00,162.12
2025-11-28 17:00:00+02:00,143.41
2025-11-28 17:15:00+02:00,150.49
2025-11-28 17:30:00+02:00,159.0
2025-11-28 17:45:00+02:00,163.48
2025-11-28 18:00:00+02:00,143.91
2025-11-28 18:15:00+02:00,144.42
2025-11-28 18:30:00+02:00,139.51
2025-11-28 18:45:00+02:00,138.78
2025-11-28 19:00:00+02:00,132.96
2025-11-28 19:15:00+02:00,132.83
2025-11-28 19:30:00+02:00,142.43
2025-11-28 19:45:00+02:00,135.36
2025-11-28 20:00:00+02:00,144.57
2025-11-28 20:15:00+02:00,136.76
2025-11-28 20:30:00+02:00,135.44
2025-11-28 20:45:00+02:00,121.91
2025-11-28 21:00:00+02:00,135.46
2025-11-28 21:15:00+02:00,128.77
2025-11-28 21:30:00+02:00,117.82
2025-11-28 21:45:00+02:00,113.43
2025-11-28 22:00:00+02:00,119.19
2025-11-28 22:15:00+02:00,116.53
2025-11-28 22:30:00+02:00,114.07
2025-11-28 22:45:00+02:00,102.62
2025-11-28 23:00:00+02:00,123.18
2025-11-28 23:15:00+02:00,112.9
2025-11-28 23:30:00+02:00,107.08
2025-11-28 23:45:00+02:00,97.77
2025-11-29 00:00:00+02:00,110.89
2025-11-29 00:15:00+02:00,96.48
2025-11-29 00:30:00+02:00,85.72
2025-11-29 00:45:00+02:00,81.25
2025-11-29 01:00:00+02:00,101.06
2025-11-29 01:15:00+02:00,99.59
2025-11-29 01:30:00+02:00,95.45
2025-11-29 01:45:00+02:00,89.51
2025-11-29 02:00:00+02:00,91.12
2025-11-29 02:15:00+02:00,90.94
2025-11-29 02:30:00+02:00,91.89
2025-11-29 02:45:00+02:00,96.2
2025-11-29 03:00:00+02:00,95.3
2025-11-29 03:15:00+02:00,89.43
2025-11-29 03:30:00+02:00,89.71
2025-11-29 03:45:00+02:00,88.96
2025-11-29 04:00:00+02:00,89.2
2025-11-29 04:15:00+02:00,91.55
2025-11-29 04:30:00+02:00,91.0
2025-11-29 04:45:00+02:00,89.38
2025-11-29 05:00:00+02:00,86.91
2025-11-29 05:15:00+02:00,90.26
2025-11-29 05:30:00+02:00,93.02
2025-11-29 05:45:00+02:00,96.31
2025-11-29 06:00:00+02:00,93.91
2025-11-29 06:15:00+02:00,93.04
2025-11-29 06:30:00+02:00,97.56
2025-11-29 06:45:00+02:00,105.64
2025-11-29 07:00:00+02:00,81.22
2025-11-29 07:15:00+02:00,96.91
2025-11-29 07:30:00+02:00,108.0
2025-11-29 07:45:00+02:00,111.38
2025-11-29 08:00:00+02:00,107.5
2025-11-29 08:15:00+02:00,111.41
2025-11-29 08:30:00+02:00,114.69
2025-11-29 08:45:00+02:00,118.12
2025-11-29 09:00:00+02:00,117.31
2025-11-29 09:15:00+02:00,114.56
2025-11-29 09:30:00+02:00,114.34
2025-11-29 09:45:00+02:00,113.2
2025-11-29 10:00:00+02:00,117.6
2025-11-29 10:15:00+02:00,113.79
2025-11-29 10:30:00+02:00,108.75
2025-11-29 10:45:00+02:00,104.77
2025-11-29 11:00:00+02:00,112.13
2025-11-29 11:15:00+02:00,105.82
2025-11-29 11:30:00+02:00,103.16
2025-11-29 11:45:00+02:00,99.29
2025-11-29 12:00:00+02:00,103.89
2025-11-29 12:15:00+02:00,103.75
2025-11-29 12:30:00+02:00,103.0
2025-11-29 12:45:00+02:00,102.87
2025-11-29 13:00:00+02:00,105.21
2025-11-29 13:15:00+02:00,103.96
2025-11-29 13:30:00+02:00,102.47
2025-11-29 13:45:00+02:00,101.08
2025-11-29 14:00:00+02:00,105.25
2025-11-29 14:15:00+02:00,97.66
2025-11-29 14:30:00+02:00,97.85
2025-11-29 14:45:00+02:00,99.36
2025-11-29 15:00:00+02:00,99.76
2025-11-29 15:15:00+02:00,103.26
2025-11-29 15:30:00+02:00,108.49
2025-11-29 15:45:00+02:00,127.08
2025-11-29 16:00:00+02:00,104.69
2025-11-29 16:15:00+02:00,116.24
2025-11-29 16:30:00+02:00,125.18
2025-11-29 16:45:00+02:00,141.31
2025-11-29 17:00:00+02:00,130.74
2025-11-29 17:15:00+02:00,142.56
2025-11-29 17:30:00+02:00,147.35
2025-11-29 17:45:00+02:00,149.3
2025-11-29 18:00:00+02:00,139.89
2025-11-29 18:15:00+02:00,140.38
2025-11-29 18:30:00+02:00,139.96
2025-11-29 18:45:00+02:00,139.37
2025-11-29 19:00:00+02:00,139.18
2025-11-29 19:15:00+02:00,143.35
2025-11-29 19:30:00+02:00,143.52
2025-11-29 19:45:00+02:00,127.82
2025-11-29 20:00:00+02:00,142.55
2025-11-29 20:15:00+02:00,142.61
2025-11-29 20:30:00+02:00,138.42
2025-11-29 20:45:00+02:00,120.08
2025-11-29 21:00:00+02:00,143.46
2025-11-29 21:15:00+02:00,136.59
2025-11-29 21:30:00+02:00,124.33
2025-11-29 21:45:00+02:00,107.59
2025-11-29 22:00:00+02:00,127.01
2025-11-29 22:15:00+02:00,120.53
2025-11-29 22:30:00+02:00,117.25
2025-11-29 22:45:00+02:00,104.87
2025-11-29 23:00:00+02:00,127.46
2025-11-29 23:15:00+02:00,121.43
2025-11-29 23:30:00+02:00,114.33
2025-11-29 23:45:00+02:00,99.57
2025-11-30 00:00:00+02:00,124.38
2025-11-30 00:15:00+02:00,106.2
2025-11-30 00:30:00+02:00,94.26
2025-11-30 00:45:00+02:00,83.71
2025-11-30 01:00:00+02:00,106.32
2025-11-30 01:15:00+02:00,103.95
2025-11-30 01:30:00+02:00,90.86
2025-11-30 01:45:00+02:00,85.59
2025-11-30 02:00:00+02:00,96.0
2025-11-30 02:15:00+02:00,93.17
2025-11-30 02:30:00+02:00,91.62
2025-11-30 02:45:00+02:00,92.9
2025-11-30 03:00:00+02:00,89.43
2025-11-30 03:15:00+02:00,86.01
2025-11-30 03:30:00+02:00,88.94
2025-11-30 03:45:00+02:00,85.34
2025-11-30 04:00:00+02:00,86.47
2025-11-30 04:15:00+02:00,85.47
