date,eur_ron
2009-01-01,4.0045
2009-01-02,4.0097
2009-01-03,4.0097
2009-01-04,4.0097
2009-01-05,4.0577
2009-01-06,4.038
2009-01-07,4.1175
2009-01-08,4.1825
2009-01-09,4.239
2009-01-10,4.239
2009-01-11,4.239
2009-01-12,4.3257
2009-01-13,4.2401
2009-01-14,4.3019
2009-01-15,4.2955
2009-01-16,4.3013
2009-01-17,4.3013
2009-01-18,4.3013
2009-01-19,4.298
2009-01-20,4.3243
2009-01-21,4.3061
2009-01-22,4.3348
2009-01-23,4.294
2009-01-24,4.294
2009-01-25,4.294
2009-01-26,4.2294
2009-01-27,4.2297
2009-01-28,4.226
2009-01-29,4.245
2009-01-30,4.2881
2009-01-31,4.2881
2009-02-01,4.2881
2009-02-02,4.3266
2009-02-03,4.3031
2009-02-04,4.3056
2009-02-05,4.2416
2009-02-06,4.2535
2009-02-07,4.2535
2009-02-08,4.2535
2009-02-09,4.2334
2009-02-10,4.2532
2009-02-11,4.2843
2009-02-12,4.2997
2009-02-13,4.2919
2009-02-14,4.2919
2009-02-15,4.2919
2009-02-16,4.3189
2009-02-17,4.3056
2009-02-18,4.2827
2009-02-19,4.2777
2009-02-20,4.2872
2009-02-21,4.2872
2009-02-22,4.2872
2009-02-23,4.2852
2009-02-24,4.281
2009-02-25,4.2825
2009-02-26,4.2927
2009-02-27,4.298
2009-02-28,4.298
2009-03-01,4.298
2009-03-02,4.31
2009-03-03,4.3005
2009-03-04,4.2851
2009-03-05,4.282
2009-03-06,4.2902
2009-03-07,4.2902
2009-03-08,4.2902
2009-03-09,4.3002
2009-03-10,4.2874
2009-03-11,4.2823
2009-03-12,4.2716
2009-03-13,4.2837
2009-03-14,4.2837
2009-03-15,4.2837
2009-03-16,4.2946
2009-03-17,4.294
2009-03-18,4.2951
2009-03-19,4.2912
2009-03-20,4.2988
2009-03-21,4.2988
2009-03-22,4.2988
2009-03-23,4.2973
2009-03-24,4.2915
2009-03-25,4.2731
2009-03-26,4.2364
2009-03-27,4.2523
2009-03-28,4.2523
2009-03-29,4.2523
2009-03-30,4.2252
2009-03-31,4.2379
2009-04-01,4.2282
2009-04-02,4.2026
2009-04-03,4.1671
2009-04-04,4.1671
2009-04-05,4.1671
2009-04-06,4.165
2009-04-07,4.1743
2009-04-08,4.1633
2009-04-09,4.1296
2009-04-10,4.1322
2009-04-11,4.1322
2009-04-12,4.1322
2009-04-13,4.1325
2009-04-14,4.1576
2009-04-15,4.1925
2009-04-16,4.2226
2009-04-17,4.2143
2009-04-18,4.2143
2009-04-19,4.2143
2009-04-20,4.2272
2009-04-21,4.2351
2009-04-22,4.2456
2009-04-23,4.2485
2009-04-24,4.2398
2009-04-25,4.2398
2009-04-26,4.2398
2009-04-27,4.2113
2009-04-28,4.2141
2009-04-29,4.1811
2009-04-30,4.2008
2009-05-01,4.2007
2009-05-02,4.2007
2009-05-03,4.2007
2009-05-04,4.1867
2009-05-05,4.1611
2009-05-06,4.1475
2009-05-07,4.1324
2009-05-08,4.1398
2009-05-09,4.1398
2009-05-10,4.1398
2009-05-11,4.1601
2009-05-12,4.1504
2009-05-13,4.1763
2009-05-14,4.18
2009-05-15,4.1902
2009-05-16,4.1902
2009-05-17,4.1902
2009-05-18,4.1697
2009-05-19,4.1609
2009-05-20,4.1507
2009-05-21,4.1634
2009-05-22,4.1723
2009-05-23,4.1723
2009-05-24,4.1723
2009-05-25,4.1723
2009-05-26,4.1776
2009-05-27,4.1795
2009-05-28,4.195
2009-05-29,4.1832
2009-05-30,4.1832
2009-05-31,4.1832
2009-06-01,4.1825
2009-06-02,4.1921
2009-06-03,4.2123
2009-06-04,4.2098
2009-06-05,4.222
2009-06-06,4.222
2009-06-07,4.222
2009-06-08,4.2118
2009-06-09,4.1946
2009-06-10,4.2007
2009-06-11,4.1897
2009-06-12,4.1986
2009-06-13,4.1986
2009-06-14,4.1986
2009-06-15,4.2276
2009-06-16,4.2351
2009-06-17,4.2285
2009-06-18,4.2255
2009-06-19,4.2203
2009-06-20,4.2203
2009-06-21,4.2203
2009-06-22,4.2313
2009-06-23,4.2348
2009-06-24,4.2249
2009-06-25,4.221
2009-06-26,4.2186
2009-06-27,4.2186
2009-06-28,4.2186
2009-06-29,4.2151
2009-06-30,4.2105
2009-07-01,4.1931
2009-07-02,4.2098
2009-07-03,4.203
2009-07-04,4.203
2009-07-05,4.203
2009-07-06,4.2075
2009-07-07,4.2085
2009-07-08,4.2164
2009-07-09,4.2146
2009-07-10,4.2189
2009-07-11,4.2189
2009-07-12,4.2189
