mw_shift,avg_price_change_eur_mwh,median_price_change,p10_price_change,p90_price_change,marginal_elasticity_eur_per_mw
-1400.0,-17.04238403899505,-8.86,-42.401999999999994,-1.57,
-1200.0,-14.222632684280121,-7.28,-35.232,-1.24,0.014098756773574639
-1000.0,-11.5570603334284,-5.85,-28.46,-1.0,0.01332786175425861
-800.0,-9.038535092950296,-4.51,-22.06,-0.79,0.012592626202390518
-600.0,-6.620879981332159,-3.25,-15.95,-0.57,0.012088275558090684
-500.0,-5.445575462158729,-2.65,-13.07,-0.47,0.011753045191734302
-400.0,-4.29407088594467,-2.08,-10.181999999999999,-0.37,0.011515045762140588
-300.0,-3.1769078793849985,-1.54,-7.48,-0.27,0.011171630065596716
-200.0,-2.0899201431201226,-1.0,-4.88,-0.18,0.010869877362648758
-100.0,-1.031067178303819,-0.49,-2.4,-0.09,0.010588529648163036
100.0,1.0063973657600662,0.49,0.09,2.31,0.010187322720319428
200.0,1.996453369286214,0.99,0.18,4.6,0.009900560035261479
300.0,2.9769646607378983,1.5,0.27,6.83,0.009805112914516842
400.0,3.9557945500272242,2.03,0.37,8.99,0.009788298892893258
500.0,4.935347040369209,2.57,0.46,11.13,0.009795524903419844
600.0,5.924610438435013,3.11,0.57,13.202000000000043,0.009892633980658046
800.0,7.9502940185122775,4.24,0.78,17.63,0.010128417900386322
1000.0,10.164982758173663,5.47,1.0,22.214000000000087,0.011073443698306927
1200.0,12.82175581425497,6.81,1.2,27.42,0.013283865280406539
1400.0,16.065339521377272,8.28,1.48,33.18600000000013,0.016217918535611508
